"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"276","L1972442",-114.0766867,52.5725797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.0766867,52.5725797,TRUE
"277","L2547231",-116.7597274,51.9733171,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-116.7597274,51.9733171,TRUE
"278","L3536054",-114.6927595,51.131957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.6927595,51.131957,TRUE
"279","L2377650",-113.3927786,51.0969733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.3927786,51.0969733,TRUE
"280","L9102265",-114.0539225,51.1482556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.0539225,51.1482556,TRUE
"281","L672894",-119.2998505,55.2278483,"469",1160,"Saskatoon Mountain","PRA",NA,"OC","41","NR","OC 67/2018",2249.07912255,910.17002916,"2018/03/13","2018/03/13","Saskatoon Mountain Provincial Recreation Area","Expansion of Saskatoon Mountain Natural Area (Established 1995-07-26)","{BDBA2889-FAD8-4A1C-8EA0-026764E26AC9}",9101700.23291,21336.6553469,-119.2998505,55.2278483,TRUE
"282","L4465913",-113.051603,50.8662181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.051603,50.8662181,TRUE
"283","L5905284",-115.1517493,51.0477912,"464",1077,"Bow Valley Wildland","WPP",NA,"OC","41","II","OC 268/2010",92190.26027514,37308.07468772,"2010/09/10","1998/12/09","Bow Valley Wildland Provincial Park","Includes all or part of the following former Natural Areas:  Bow Valley (est. 1995), Canmore Flats (est. 1990), Bow Flats (est. 1990), Yamnuska (est. 1997), Wind Valley (est. 1995).","{87991B32-952D-41CE-BAE2-5AB92D0DC66C}",373080746.872,294718.624009,-115.1517493,51.0477912,TRUE
"284","L3901914",-114.41423,49.31833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.41423,49.31833,TRUE
"285","L351690",-117.93676,52.90344,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-117.93676,52.90344,TRUE
"286","L2286235",-114.9424839,51.0540204,"100",10248,"Sibbald Meadows Pond","PRA",NA,"OC","41","NR","OC 389/97",24.32353484,9.84338531,"1997/08/27","1987/04/30","Sibbald Meadows Pond Provincial Recreation Area",NA,"{AB0A32D1-C7A0-403B-AFFC-D9AE4AD829E5}",98433.8532715,1353.1423074,-114.9424839,51.0540204,TRUE
"287","L989283",-114.0443087,51.0453603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.0443087,51.0453603,TRUE
"288","L1144299",-112.7799797,49.8841278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.7799797,49.8841278,TRUE
"289","L4383149",-112.880702,49.6699332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.880702,49.6699332,TRUE
"290","L4458723",-113.9366549,49.4856059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.9366549,49.4856059,TRUE
"291","L1438303",-112.9615576,51.9357074,"381",1018,"Dry Island Buffalo Jump","PP",NA,"OC","41","II","OC 379/2000",3924.83491989,1588.32434024,"2000/10/04","1970/12/15","Dry Island Buffalo Jump Provincial Park",NA,"{27090C29-2373-413F-959D-ECAB2D174D3B}",15883243.4016,42760.2658888,-112.9615576,51.9357074,TRUE
"292","L387126",-113.7947154,52.2851773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.7947154,52.2851773,TRUE
"293","L624078",-115.7179642,51.1788049,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.7179642,51.1788049,TRUE
"294","L4643540",-115.3557667,51.0897987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.3557667,51.0897987,TRUE
"295","L2549478",-111.6515207,50.4518724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.6515207,50.4518724,TRUE
"296","L4834146",-113.5897064,51.2314515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.5897064,51.2314515,TRUE
"297","L1172327",-113.8446236,53.7271856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.8446236,53.7271856,TRUE
"298","L1612883",-112.6727729,49.4095994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.6727729,49.4095994,TRUE
"299","L4465933",-112.9509209,51.2996488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.9509209,51.2996488,TRUE
"300","L630497",-118.3071327,55.2212884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.3071327,55.2212884,TRUE
"301","L306684",-117.7744064,52.8629496,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-117.7744064,52.8629496,TRUE
"302","L2606571",-114.1087675,49.4134861,"369",1002,"Beauvais Lake","PP",NA,"OC","41","II","OC 377/2000",2864.10712333,1159.06303064,"2000/10/04","1954/02/01","Beauvais Lake Provincial Park",NA,"{D7312158-31C9-4C46-9EF3-3CDCECFEB4CF}",11590630.3059,20153.85877,-114.1087675,49.4134861,TRUE
"303","L3073841",-118.0447912,52.6812216,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-118.0447912,52.6812216,TRUE
"304","L1477091",-118.026397,52.9305291,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-118.026397,52.9305291,TRUE
"305","L2445494",-113.5459864,50.9783583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.5459864,50.9783583,TRUE
"306","L502770",-113.7389231,50.1264662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.7389231,50.1264662,TRUE
"307","L1000491",-113.346988,54.6171016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.346988,54.6171016,TRUE
"308","L1023235",-114.7346878,53.5548925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.7346878,53.5548925,TRUE
"309","L1641837",-111.9280268,53.7149154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9280268,53.7149154,TRUE
